generic,original_generic,category
Cichlids have a classical fish shape.,cichlids have a classical fish shape.,maj
Bluefish have teeth.,bluefishes have teeth.,maj
Sharks swim constantly but leisurely.,"sharks swim constantly but leisurely, propelled by the sculling motion of the body and tail.",maj
Sponges are hermaphrodites.,sponges are hermaphrodites.,maj
Cuttlefishs hide from predators.,cuttlefishs hide from predators.,maj
Stonefishs have spines.,stonefishs have spines.,maj
Sharks eat blood.,sharks eat blood.,maj
Sharks appear in environments.,sharks appear in environments.,maj
Cigarette smoke contains numerous carcinogen.,cigarette smoke contains numerous carcinogen.,maj
Carpenter ants live in forest ecosystems.,carpenter ants live in forest ecosystems.,maj
Mollies live in water.,mollies live in water.,maj
Swordfishs have spines.,swordfishs have spines.,maj
Fish live in reefs.,fish live in reefs.,maj
Fishes have an internal.,"fishes have an internal, air-filled sac, the swim bladder.",maj
Cuttlefishs have lifespans.,cuttlefishs have lifespans.,maj
Lungfish have ear ears.,lungfishes have ear ears.,maj
Bony fish have external fertilization and external development.,bony fish have external fertilization and external development.,maj
Stingrays have one or more barbed stings on the tail.,"stingrays have one or more barbed stings on the tail, which is used 'only' for self-defense.",maj
Cuttlefishs live in shallow reefs.,cuttlefishs live in shallow reefs.,maj
Sharks feed on small creatures.,sharks feed on small creatures.,maj
Fish have single fins.,fish have single fins.,maj
Bony fish utilize a gas-filled swim bladder for buoyancy.,bony fish utilize a gas-filled swim bladder for buoyancy.,maj
Whale sharks feed on small creatures.,whale sharks feed on small creatures.,maj
Sea urchins eat plants.,sea urchins eat plants.,maj
Spinner sharks feed on fish.,spinner sharks feed on fish.,maj
Hagfish display rapid body movement.,hagfishes display rapid body movement.,maj
Sharks live in coasts.,sharks live in coasts.,maj
Fish have excretory organs.,fish have excretory organs.,maj
Fish eat worms.,fish eat worms.,maj
Sharks swim by thrusting their tail fins from side to side.,sharks swim by thrusting their tail fins from side to side.,maj
Fish have female organs.,fish have female organs.,maj
Sharks have spines.,sharks have spines.,maj
Eels are predators .,eels are predators .,maj
Tetrapods have jaws.,tetrapods have jaws.,maj
Fish have skeletons.,fish have skeletons.,maj
Sharks live in habitats.,sharks live in habitats.,maj
Blue sharks have diets.,blue sharks have diets.,maj
Larval fish live in shallow water.,larval fish live in shallow water.,maj
Sharks have tail fins.,sharks have tail fins.,maj
Nurse sharks have fins.,nurse sharks have fins.,maj
Fish have shape teeth.,fish have shape teeth.,maj
Sharks are located in reefs.,sharks are located in reefs.,maj
Bony fish are oviparous and spawn their eggs for external fertilization.,bony fishes are oviparous and spawn their eggs for external fertilization.,maj
Fish have sexual characteristics.,fish have sexual characteristics.,maj
Fish have stiff skeletons.,fish have stiff skeletons.,maj
African lungfish inhabit water.,african lungfishes inhabit water.,maj
Sharks swim in oceans.,sharks swim in oceans.,maj
Fish inhabit oceans.,fish inhabit oceans.,maj
Fish have lobe fins.,fish have lobe fins.,maj
Fish live in sea.,fish live in sea.,maj
Ice fish have gills.,ice fish have gills.,maj
Sharks have few young and take a long time to mature.,sharks have few young and take a long time to mature.,maj
Whale sharks feed on creatures.,whale sharks feed on creatures.,maj
Sharks inhabit shallow water.,sharks inhabit shallow water.,maj
Guppies survive in water.,guppies survive in water.,maj
Krill eat phytoplankton.,krill eat phytoplankton.,maj
Stingrays has-part teeth.,stingrays has-part teeth.,maj
Sea urchins live in water.,sea urchins live in water.,maj
Sharks migrate to water.,sharks migrate to water.,maj
Salmon live in salt water.,salmon live in salt water.,maj
Tetrapods adapt to life.,tetrapods adapt to life.,maj
Stingrays enter water.,stingrays enter water.,maj
Krill have exoskeletons.,krill have exoskeletons.,maj
Stonefishs have strong spines.,stonefishs have strong spines.,maj
Carpet beetles undergo metamorphosis.,carpet beetles undergo metamorphosis.,maj
Coelacanths reach adulthood.,coelacanths reach adulthood.,maj
Fish eat small plankton.,fish eat small plankton.,maj
Sharks are man-eaters.,sharks are man-eaters.,maj
Fish actively pump water over their gills.,fish actively pump water over their gills.,maj
Fish have antifreeze proteins.,fish have antifreeze proteins.,maj
Australian lungfish have poor eyesights.,australian lungfishes have poor eyesights.,maj
Cuttlefishs eat molluscs.,cuttlefishs eat molluscs.,maj
Fish are located in seawater.,fish are located in seawater.,maj
Fish have a special part inside their bodies called a swim bladder.,fish have a special part inside their bodies called a swim bladder.,maj
Jellyfish have thin tentacles.,jellyfish have thin tentacles.,maj
Sharks appear in sea.,sharks appear in sea.,maj
Sharks eat their prey whole.,"sharks eat their prey whole, or they tear off large chunks of the bodies.",maj
Stonefishs have stout spines.,stonefishs have stout spines.,maj
Hagfish have slow metabolism.,hagfishes have slow metabolism.,maj
Fish have cartilage bones.,fish have cartilage bones.,maj
Sharks are carnivorous.,"sharks are carnivorous, though, and can swallow their prey whole.",maj
Commercial margarines contain whey.,"commercial margarines contain whey, a dairy product.",maj
Australian lungfish have fins.,australian lungfishes have fins.,maj
Sea slugs feed on plants.,sea slugs feed on plants.,maj
Sea lampreys have teeth.,sea lampreys have teeth.,maj
Sharks live in sea.,sharks live in sea.,maj
Sharks live in cold water.,sharks live in cold water.,maj
Sharks live in shallow sea.,sharks live in shallow sea.,maj
Carpenter ants feed on plants.,carpenter ants feed on plants.,maj
Fish have caudal fins.,fish have caudal fins.,maj
Eels live in water.,eels live in water.,maj
Fish have female reproductive organs.,fish have female reproductive organs.,maj
Fish pump water over the gills with pharyngeal and opercular muscles.,fish pump water over the gills with pharyngeal and opercular muscles.,maj
Fish adapt to habitats.,fish adapt to habitats.,maj
Fish has-part teeth.,fish has-part teeth.,maj
Fish are oviparous.,"fish are oviparous, which means that the eggs develop outside the mother's body.",maj
Fish live in ponds.,fish live in ponds.,maj
River stingrays have mouths.,river stingrays have mouths.,maj
Jellyfish species have a relatively fixed life span.,jellyfish species have a relatively fixed life span.,maj
Sharks eat bony fish.,sharks eat bony fish.,maj
Sponges live their lives attached to a reef.,sponges live their lives attached to a reef.,maj
Yellow perches have jaws.,yellow perches have jaws.,maj
Whale sharks live in sea.,whale sharks live in sea.,maj
Silverfishs live in environments.,silverfishs live in environments.,maj
Sharks are carnivorous .,sharks are carnivorous .,maj
Sharks grow teeth.,sharks grow teeth.,maj
Eels have gills.,eels have gills.,maj
Fish adapt to alter habitats.,fish adapt to alter habitats.,maj
Sunfish have surfaces.,sunfishes have surfaces.,maj
Stingrays have fins.,stingrays have fins.,maj
Cuttlefishs have short lifespans.,cuttlefishs have short lifespans.,maj
Carpet beetles emerge in springs.,carpet beetles emerge in springs.,maj
Fish live for years.,fish live for years.,maj
Sea slugs have chemicals.,sea slugs have chemicals.,maj
Sharks swim continuously.,sharks swim continuously.,maj
Sea urchins eat algas.,sea urchins eat algas.,maj
Sharks kill prey.,sharks kill prey.,maj
Sharks have snouts.,sharks have snouts.,maj
Salmon live in oceans.,salmon live in oceans.,maj
Sharks has-part glands.,sharks has-part glands.,maj
Jellyfish make toxins.,jellyfish make toxins.,maj
Angler fish live in deep sea.,angler fish live in deep sea.,maj
Fish have strong spines.,fish have strong spines.,maj
Goldfish have fins.,goldfishes have fins.,maj
Sharks have good vision even though are nocturnal feeders.,sharks have good vision even though are nocturnal feeders.,maj
Sharks possess bones.,sharks possess bones.,maj
Saltwater fish have gills.,saltwater fish have gills.,maj
Lungfish have poor eyesights.,lungfishes have poor eyesights.,maj
Hagfish have mouths.,hagfishes have mouths.,maj
Sea urchins have eyes.,sea urchins have eyes.,maj
Sharks develop lungs.,sharks develop lungs.,maj
Hagfish have skeletons.,hagfishes have skeletons.,maj
Starfishs have appendages.,starfishs have appendages.,maj
Fish eat zooplankton.,fish eat zooplankton.,maj
Juvenile lungfish have circular heads.,juvenile lungfishes have circular heads.,maj
Sugar is consumed during fermentation.,"sugar is consumed during fermentation, making wines dry.",maj
Bony fish are ray-finned.,bony fish are ray-finned.,maj
Fish parasites have complex life cycles often involving birds.,"fish parasites have complex life cycles often involving birds, snails, and microscopic animals.",maj
Fish have shape fins.,fish have shape fins.,maj
Jellyfish are located in water.,jellyfish are located in water.,maj
Fish live in oceans.,fish live in oceans.,maj
Blood sugar causes potassium excretion.,blood sugar causes potassium excretion.,maj
Hagfish have single nostrils.,hagfishes have single nostrils.,maj
Hagfish have comb teeth.,hagfishes have comb teeth.,maj
Fish have venom glands.,fish have venom glands.,maj
Sharks have five pairs of gill slits.,"sharks have five pairs of gill slits, but some have six or seven pairs.",maj
Smallmouth bass spend the dog days of summer in relatively deep water.,smallmouth bass spend the dog days of summer in relatively deep water.,maj
Angler fish live in sea.,angler fish live in sea.,maj
Cuttlefishs live in reefs.,cuttlefishs live in reefs.,maj
Garden pests carry diseases.,garden pests carry diseases.,maj
Starfishs have eyes.,starfishs have eyes.,maj
Fish breathe using gills.,fish breathe using gills.,maj
Mollies have enlarge dorsal fins.,mollies have enlarge dorsal fins.,maj
Sharks are active predators.,"sharks are active predators, some of the large varieities are actually plankton eaters.",maj
Tetrapods have hips.,tetrapods have hips.,maj
Sharks are ovoviviparous.,"sharks are ovoviviparous, hatching the eggs within the female and bearing live young.",maj
Fish are covered with small scales instead of skin.,fish are covered with small scales instead of skin.,maj
Jellyfish live close to land but some live on the bottom of the ocean.,jellyfish live close to land but some live on the bottom of the ocean.,maj
Bass are carnivorous and belong to one of three families.,bass are carnivorous and belong to one of three families.,maj
Sea urchins have predators.,sea urchins have predators.,maj
Fish have pelvic fins.,fish have pelvic fins.,maj
Gray triggerfish have incisors.,gray triggerfish have incisors.,maj
Sharks occur in warm sea.,sharks occur in warm sea.,maj
Bony fish live in water.,bony fish live in water.,maj
Lampreys have eyes.,lampreys have eyes.,maj
Starfish are predators.,"starfish are predators, feeding on sessile or slow-moving prey such as mollusks and barnacles.",maj
Vinegar contains citric acid.,vinegar contains citric acid.,maj
Fish have shape vertebrae.,fish have shape vertebrae.,maj
Large fish have teeth.,large fish have teeth.,maj
Sharks eat prey.,sharks eat prey.,maj
Fish start their lives as small animals in the plankton.,fish start their lives as small animals in the plankton.,maj
Primitive fish have cartilaginous skeletons.,primitive fish have cartilaginous skeletons.,maj
Fish undergo final oocyte maturation.,fish undergo final oocyte maturation.,maj
Fish have intestines.,fish have intestines.,maj
White sharks occur in temperate sea.,white sharks occur in temperate sea.,maj
Yellow perches have separate dorsal fins.,yellow perches have separate dorsal fins.,maj
Small fish eat zooplankton.,small fish eat zooplankton.,maj
Saltwater fish live in environments.,saltwater fish live in environments.,maj
Basidiocarps produce spores.,basidiocarps produce spores.,maj
Fish have blood.,fish have blood.,maj
Guppies have anal fins.,guppies have anal fins.,maj
Garden snails have organs.,garden snails have organs.,maj
Larval fish eat zooplankton.,larval fish eat zooplankton.,maj
Jellyfish have venom.,jellyfish have venom.,maj
Bony fish have sides.,bony fish have sides.,maj
Sunfish have molar surfaces.,sunfishes have molar surfaces.,maj
Common goldfish have fins.,common goldfishes have fins.,maj
Fish live in the deep water.,"fish live in the deep water, just below the ocean surface.",maj
Cuttlefishs have prey.,cuttlefishs have prey.,maj
Sharks have surfaces.,sharks have surfaces.,maj
Eels prefer to live in the shallowest parts of the ocean .,eels prefer to live in the shallowest parts of the ocean .,maj
